retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
reald0naldtrum4,morningmika,10161,81659,51301
TroyMaurice71,davidmweissman,11637,43975,86063
NancyKBen,TwosUpCanada,1555,81468,50695
MikeDal23048886,catturd2,50595,55473,30269
Deckard61S,SebGorka,213,84347,210
AmyV333,morningmika,10162,64346,51301
TheMedillian,morningmika,10163,72101,51301
SLL1054,morningmika,9858,67024,51606
EdStrasser,hrtablaze,2788,45340,59448
dbs1128,morningmika,10163,61044,51301
wildkat57,morningmika,64255,80118,83609
CaptainJamesTJ1,catturd2,64762,57015,16104
ashishnh,morningmika,10164,79652,51301
Andrew95185757,hrtablaze,2789,621,59448
AliceWa32036987,Atlantiso1,284,13626,79035
Jestation,morningmika,68668,49640,79198
rbsugarskid,BenKTallmadge,13684,45895,61042
BranstedNegTwet,morningmika,10166,85783,51301
Myinfo941454043,RealSaavedra,62150,1671,68490
lvlvlrd707,Liz_Wheeler,49014,79068,22683
RobsTinFoilHat,morningmika,10166,1426,51301
fibolin,TylerHarner1,3675,25298,46981
rabbithole59,SunflowerSoul71,6066,45302,66354
TheArtman14,iamfreedom1776,14633,69213,42691
joanbsiegel,morningmika,68670,1368,79198
Trinna730101,morningmika,9862,64510,51606
running2fit,Montanapatriot5,1095,76502,83278
tmckfishy,NormanLinnell,15382,77199,70030
harleybird2004,morningmika,9864,9155,51606
DeplorableDSmit,Liz_Wheeler,49017,82124,22683
KaitBb84,mmdesoer,126,72530,47248
Deingirl,BonniBK,8143,83566,35539
fibolin,father_mayhem,212,25302,82460
cocoalsto,Dehneh1,44056,83713,1611
henrjt,morningmika,10171,86043,51301
mindfulone1500,morningmika,9866,62399,51606
brian362,marabutler67,4256,75427,5476
Elizabe60909583,morningmika,9866,67058,51606
game_ova_713,morningmika,9428,53153,52045
TXConservLatino,dbongino,60353,46621,18148
judylynnmac,morningmika,10173,83847,51301
shetioy99,fayez_101,1744,11440,45435
CarolKearns12,morningmika,10174,69584,51301
unionhallgener1,morningmika,10174,9761,51301
DebraCline15,morningmika,10175,41847,51301
mybabyforever10,DIY_Sparks,260,66585,62475
CynthiaKat7,zombiemilano,3268,76577,60007
rego_alm,morningmika,10175,66403,51301
MarjanFa1,John_Sedigh,21399,32353,16582
ann10551955,morningmika,10176,13512,51301
running2fit,SouthBayMrtgGuy,41622,76510,38192
DisgustsT,JFNYC1,13662,54650,33223
Friend2UToo,cvpayne,50959,49560,32849
LanceBybee,LoveMyCymba,445,45035,68225
LauritsenKelly,SebGorka,227,46343,210
CraigLa17029521,morningmika,10176,69401,51301
Vmarius123,SebGorka,227,51509,210
Nic1214,almostjingo,777,43802,8945
DeonTay54923123,KC593,10914,78407,57888
Jeffrey09078047,EricTrump,10989,76440,53571
Jeffrey52095461,PoliticalShort,2531,77042,51863
Johnnys90320775,sushi_roll321,1309,17435,1913
yvonne_erdmann,morningmika,9874,51461,51606
JakeRinga,_ReaalAmerican_,1727,2290,59604
running2fit,Justin14893920,40590,76514,79092
bigdaddyclif1,adamctharp,50583,65787,58651
SW1774,yesnicksearcy,181,8137,61410
BildSteve,morningmika,9875,60066,51606
UCLAKINGSHALOS,morningmika,9875,59176,51606
bullgator2012,EricTrump,10992,78834,53571
leenelson19514,morningmika,9437,71913,52045
jdifrancis,SebGorka,232,59485,210
bstovalljr,SebGorka,232,55202,210
piggylou73,rn_gal,11973,53619,76442
grege1953,DonaldJTrumpJr,14026,58326,51975
nan_wiggins,_ReaalAmerican_,1730,79711,59604
teehee77571618,morningmika,10182,53908,51301
TimesJoyous,DanielNewman,6857,78691,42856
livinstrongheal,SebGorka,3745,73096,83099
SandraMuiMui,morningmika,10183,77739,51301
TrumpFollower13,PoliticalShort,1907,74076,52492
Anon_Lobo,browne01,71767,86269,84655
No_Muzzle_4_Raf,MrWick2u,1467,65640,70237
ladnertim,ZemanLynnZ,4331,38966,44233
aabbyabs,morningmika,10186,71615,51301
suzannebr7,EricTrump,10997,8968,53571
